id,sku
73586,20765
73585,20764
73584,20763
73583,20762
73582,20761
73581,20760
73580,20759
73579,20758
73578,20757
73577,20756
73576,20755
73575,20754
73574,20753
73573,20752
73572,20751
73571,20750
73570,20749
73569,20747
73568,20746
73567,20745
73566,20744
73565,20743
73564,20742
73563,20741
73562,20740
73561,20739
73560,20738
73559,20737
73558,20736
73557,20735
73556,20734
73555,20733
73554,20732
73553,20727
73552,20726
73551,20725
73550,20723
73549,20722
73548,20721
73547,20720
73546,20719
73545,20718
73544,20717
73543,20716
73542,20715
73541,20714
73540,20713
73539,20712
73538,20711
73537,20710
73536,20709
73535,20708
73534,20707
73533,20706
73532,20705
73531,20704
73530,20703
73529,20702
73528,20701
73527,20700
73526,20699
73525,20698
73524,20697
73523,20696
73522,20695
73521,20694
73520,20693
73519,20692
73518,20691
73517,20690
73516,20689
73515,20688
73514,20687
73513,20686
73512,20685
73511,20684
73510,20683
73509,20159
73508,19030
73507,19029
73506,17892
73505,17891
73504,16631
73503,16630
73502,15189
73501,15188
73500,13589
73499,11984
73498,11983
73497,9831
73496,9829
73495,6324
73494,6309
73492,20730
73491,20729
73490,20728
73489,20724
64229,20682
64228,20681
64227,20680
64226,20679
64225,20678
64224,20677
64223,20676
64222,20675
64221,20674
64220,20673
64219,20672
64218,20671
64217,20670
64216,20669
64215,20668
64214,20667
64213,20666
64212,20665
64211,20664
64210,20663
64209,20661
64208,20660
64207,20659
64206,20658
64205,20657
64204,20656
64203,20655
64202,20654
64201,20653
64200,20652
64199,20651
64198,20650
64197,20649
64196,20648
64195,20647
64194,20646
64193,20645
64192,20644
64191,20643
64190,20642
64189,20641
64188,20640
64187,20639
64186,20638
64185,20637
64184,20636
64183,20635
64182,20634
64181,20632
64180,20631
64179,20630
64178,20629
64177,20628
64176,20627
64175,20626
64174,20625
64173,20624
64172,20623
64171,20622
64170,20621
64169,20620
64168,20619
64167,20618
64166,20617
64165,20616
64164,20615
64163,20614
64162,20613
64161,20612
64160,20611
64159,20610
64158,20609
64157,20608
64156,20607
64155,20605
64154,20604
64153,20603
64152,20600
64151,20599
64150,20598
64149,20597
64148,20596
64147,20595
64146,20593
64145,20592
64144,20591
64143,20590
64142,20589
64141,20588
64140,20587
64139,20586
64138,20585
64137,20584
64136,20583
64135,20582
64134,20581
64133,20580
64132,20578
64131,20577
64130,20576
64129,20575
64128,20574
64127,20573
64126,20572
64125,20571
64124,20570
64123,20569
64122,20568
64121,20567
64120,20566
64119,20565
64118,20564
64117,20563
64116,20562
64115,20561
64114,20560
64113,20559
64112,20558
64111,20557
64110,20556
64109,20555
64108,20554
64107,20553
64106,20552
64105,20551
64104,20550
64103,20549
64102,20548
64101,20547
64100,20546
64099,20545
64098,20544
64097,20543
64096,20542
64095,20541
64094,20540
64093,20537
64092,20536
64091,20535
64090,20534
64089,20533
64088,20532
64087,20531
64086,20530
64085,20529
64084,20528
64083,20527
